City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Gulzarpet, Anantapur, India",76,76,52,19,5.1,2.9,9.2,14.675886,77.593027,2024-04-30 18:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",23,9,23,5.3,2.1,4.8,5.5,16.9872867,81.7363176,2024-04-30 18:00:00
"Tirumala-APPCB, Tirupati, India",70,70,50,16.8,10.6,5.6,7,13.67,79.35,2024-04-30 18:00:00
"PWD Grounds, Vijayawada, India",-,52,N/A,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",82,82,37,1,1.1,1.7,2.6,27.103358,93.679645,2024-04-30 18:00:00
"Pan Bazaar, Guwahati, India",140,79,140,7.1,0.4,24,4.5,26.1875,91.744194,2024-04-30 18:00:00
"D M Colony, Bihar Sharif, India",98,98,65,12.2,3.5,0.2,9.9,25.204762,85.51496,2024-04-30 18:00:00
"New DM Office, Arrah, India",147,147,116,19.8,0.5,8.6,2.2,25.5626095,84.663264,2024-04-30 18:00:00
"DRCC Anandpur, Begusarai, India",262,262,152,1.6,34,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",167,167,105,7.6,10.4,4.5,11.4,26.80365,84.51954,2024-04-30 17:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",109,109,52,19.2,27.8,6.4,10.6,25.251013,86.989001,2024-04-30 18:00:00
"D M Colony, Bihar Sharif, India",98,98,65,12.2,3.5,0.2,9.9,25.204762,85.51496,2024-04-30 18:00:00
"SFTI Kusdihra, Gaya, India",66,66,62,19.1,6.8,4.1,4.1,24.762518,84.982348,2024-04-30 18:00:00
"Central Jail, Buxar, India",241,241,147,8.2,1.6,1.5,6,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",165,165,115,0.8,11.6,5.7,11,25.7808257,84.7446768,2024-04-30 18:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192,170,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",97,97,N/A,20.8,1.2,3.4,8.5,24.7955,84.9994,2024-04-30 18:00:00
"Industrial Area, Hajipur, India",178,117,178,11.5,18.5,3.6,4.5,25.697189,85.2459,2024-04-30 18:00:00
"Town Hall, Munger, India",161,161,98,53,2.2,13.1,8.8,25.376776,86.471523,2024-04-30 13:00:00
"Mirchaibari, Katihar, India",118,72,118,5.9,9.3,9.4,11.7,25.560083,87.553265,2024-04-30 18:00:00
"Gandak Colony, Motihari, India",159,159,80,58.2,26.1,4.7,4.9,26.63086,84.90051,2024-04-30 18:00:00
"Town Hall, Munger, India",161,161,98,53,2.2,13.1,8.8,25.376776,86.471523,2024-04-30 13:00:00
"Buddha Colony, Muzaffarpur, India",205,205,183,11.7,14,2.6,4,26.11442,85.39813,2024-04-30 18:00:00
"IGSC Planetarium Complex, Patna, India",124,124,N/A,16.9,4.1,2,2.2,25.6103665,85.1327137,2024-04-30 18:00:00
"Police Line, Saharsa, India",270,270,89,12.5,2.6,6.8,10.1,25.892357,86.590325,2024-04-30 18:00:00
"DM Office_Kasipur, Samastipur, India",132,132,87,14.6,3.6,31.6,30.8,25.859655,85.77944,2024-04-30 18:00:00
"Chitragupta Nagar, Siwan, India",51,63,94,50.9,9.1,12.9,40.4,26.2271665,84.3570427,2024-04-30 18:00:00
"Sector 22, Chandigarh, India",81,81,71,64.2,7.2,3.7,6.5,30.735567,76.775714,2024-04-30 18:00:00
"Sector 22, Chandigarh, India",81,81,71,64.2,7.2,3.7,6.5,30.735567,76.775714,2024-04-30 18:00:00
"Civic Center, Bhilai, India",75,75,36,31.5,5.2,3.2,9.4,21.185571,81.343175,2024-04-30 18:00:00
"Mangala, Bilaspur, India",88,88,59,N/A,4.7,6.2,8.2,22.08815,82.13737,2024-04-30 18:00:00
"Civic Center, Bhilai, India",75,75,36,31.5,5.2,3.2,9.4,21.185571,81.343175,2024-04-30 18:00:00
"Doon University, Dehradun, India",109,106,109,53.6,0.5,1.3,2.8,30.269444,78.044167,2024-04-30 18:00:00
"Phase-1 GIDC, Vapi, India",85,85,69,0.4,2.4,21.8,N/A,20.362421,72.918013,2024-04-30 18:00:00
"Phase-1 GIDC, Vapi, India",85,85,69,0.4,2.4,21.8,N/A,20.362421,72.918013,2024-04-30 18:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",95,95,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-04-30 17:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",95,95,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-04-30 17:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",95,95,N/A,N/A,N/A,N/A,N/A,28.63576,77.22445,2024-04-30 17:00:00
"Maninagar, Ahmedabad, India",77,77,77,11.3,11.1,21.1,15.5,23.002657,72.591912,2024-04-30 18:00:00
"GIDC, Ankleshwar, India",82,82,65,10.4,11.8,14,6.5,21.613267,73.010555,2024-04-30 18:00:00
"GIFT City, Gandhinagar, India",11,N/A,N/A,11.4,1.4,2.9,9.4,23.163798,72.677768,2024-04-30 18:00:00
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",10,10,4,5.2,0.7,N/A,4.3,53.58904,142.94797,2022-01-12 05:00:00
"Patti Mehar, Ambala, India",104,104,26,13.6,1.5,11.4,7.7,30.379589,76.778328,2024-04-30 18:00:00
"H.B. Colony, Bhiwani, India",129,129,81,3.7,2.8,3.7,12.2,28.806223,76.141105,2024-04-30 18:00:00
"Sector 22, Chandigarh, India",81,81,71,64.2,7.2,3.7,6.5,30.735567,76.775714,2024-04-30 18:00:00
"Sector16A Faridabad, Faridabad, India",61,61,N/A,5.7,4.6,9.9,2,28.4088421,77.3099081,2024-04-30 18:00:00
"Urban Estate-II, Hisar, India",97,97,95,63.8,9.2,20.3,3.7,29.14056,75.744941,2024-04-30 18:00:00
"Police Lines, Jind, India",84,84,70,7.3,5.6,3.1,1.7,29.307814,76.337619,2024-04-30 18:00:00
"Rishi Nagar, Kaithal, India",104,58,104,4.7,9.4,41.4,1.9,29.8006,76.4155,2024-04-30 18:00:00
"Sector-12, Karnal, India",159,159,72,13.2,4.3,5,4,29.6953,77.0027,2024-04-30 18:00:00
"MD University, Rohtak, Rohtak, India",223,223,N/A,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",105,105,72,37.9,3.7,3.8,9.9,29.5364,75.0158,2024-04-30 18:00:00
"Murthal, Sonipat, India",64,58,64,14.3,13.8,11.7,1.6,29.0272,77.0621,2024-04-30 18:00:00
"Mangala, Bilaspur, India",88,88,59,N/A,4.7,6.2,8.2,22.08815,82.13737,2024-04-30 18:00:00
"Unna-Königsborn, Germany",40,40,N/A,39.5,3.8,N/A,N/A,51.547479,7.693785,2024-04-30 13:00:00
"Rajbagh, Srinagar, India",58,58,41,5.6,4.6,4.8,4,34.066206,74.81982,2024-03-04 09:00:00
"Tata Stadium, Jorapokhar, India",14,N/A,N/A,14.1,6.1,14,4.7,23.707909,86.41467,2024-04-30 18:00:00
"Hombegowda Nagar, Bengaluru, India",72,72,51,10.8,6,1.8,5.1,12.938539,77.5901,2024-04-30 18:00:00
"Ramteerth Nagar, Belgaum, India",72,64,72,8,12.1,3.5,6.8,15.888653,74.541751,2024-04-30 18:00:00
"Kalyana Nagara, Chikkamagaluru, India",110,110,44,16.5,8.4,3.7,15.4,13.328028,75.797056,2024-04-30 18:00:00
"Devaraj Urs Badavane, Davanagere, India",58,78,58,N/A,N/A,N/A,N/A,14.4758,75.9052,2024-04-30 18:00:00
"B.Katihalli, Hassan, India",76,76,51,1.5,1.1,10.2,3.2,13.008556,76.125258,2024-04-30 18:00:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",82,82,50,12.2,4.5,9.5,9.4,17.321993,76.822628,2024-04-30 18:00:00
"Tamaka Ind. Area, Kolar, India",65,65,46,6.3,7.5,6.7,1.1,13.1276288,78.1570122,2024-04-30 18:00:00
"Stuart Hill, Madikeri, India",93,93,51,12.2,8.5,1.6,1.3,12.415911,75.73505,2024-04-30 18:00:00
"Kadri, Mangalore, India",119,119,60,13.1,2.1,6.4,6.7,12.88925,74.853,2024-04-30 18:00:00
"Haji Colony, Raichur, India",61,61,59,1.9,17.9,41.3,20.6,16.208139,77.348417,2024-04-30 13:00:00
"Vinoba Nagara, Shivamogga, India",86,86,56,31.8,7.6,3.1,7.2,13.94,75.555917,2024-04-30 18:00:00
"Ibrahimpur, Vijayapura, India",64,64,39,6.3,6.9,216.6,10.9,16.802639,75.722694,2024-04-30 18:00:00
"Thavakkara, Kannur, India",120,120,54,12.8,2.6,0.2,5.8,11.875,75.3732,2024-04-30 18:00:00
"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",34,34,12,12.8,2.8,1.5,N/A,33.5489621,133.5987948,2024-04-30 21:00:00
"Polayathode, Kollam, India",134,134,59,14.3,3.1,1.2,2.8,8.8787,76.6073,2024-04-30 18:00:00
"Plammoodu, Thiruvananthapuram, India",34,34,20,2.8,3.4,3,2.9,8.5149093,76.9435879,2024-04-30 18:00:00
"Corporation Ground, Thrissur, India",85,85,55,12,2.8,0.3,3.5,10.5324,76.2159,2024-04-30 18:00:00
"Centre, Bvd François 1er, Le Havre, France",22,N/A,10,22,N/A,1.1,N/A,49.48963229,0.1007024899,2024-04-30 15:00:00
"T T Nagar, Bhopal, India",105,61,105,32.3,8.6,8.1,3.5,23.233584,77.400574,2024-04-30 18:00:00
"Shrivastav Colony, Damoh, India",50,50,36,N/A,2.4,N/A,4.4,23.81748678,79.446246,2024-01-22 16:00:00
"Bhopal Chauraha, Dewas, India",63,63,36,17.9,4.6,10.7,3.3,22.9682591,76.064118,2024-04-30 18:00:00
"Phool Bagh, Gwalior, India",176,176,101,N/A,1.9,11.5,15.4,26.210536,78.171,2024-04-30 18:00:00
"Marhatal, Jabalpur, India",68,68,66,30.5,20.5,4,11.6,23.168606,79.932247,2024-04-30 18:00:00
"Shasthri Nagar, Ratlam, India",114,114,96,N/A,10.2,15,N/A,23.331731,75.045981,2024-04-30 18:00:00
"Deen Dayal Nagar, Sagar, India",74,74,9,N/A,8.6,4.9,9.2,23.8640158,78.80289321,2024-04-30 18:00:00
"Bandhavgar Colony, Satna, India",63,52,63,15.8,18.2,1.8,6.6,24.58434363,80.8549414,2024-04-30 18:00:00
"Mahakaleshwar Temple, Ujjain, India",72,61,72,57.1,41.2,1.9,2.2,23.182719,75.768218,2024-04-30 18:00:00
"Gurdeo Nagar, Aurangabad, India",24,101,82,23.5,3.8,0.8,1.4,24.75746,84.366208,2024-04-30 18:00:00
"MIDC Khutala, Chandrapur, India",174,143,174,0.6,17.3,9.2,13,19.9775302,79.2337086,2024-04-25 22:00:00
"Malayer, Hamadan, Iran (ملایر همدان)",59,58,59,N/A,34,6,7,34.2875011,48.787992,2024-04-30 17:00:00
"Khadakpada, Kalyan, India",131,79,131,8,11.8,11.4,3.3,19.25292,73.142019,2024-04-30 18:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",109,109,N/A,N/A,N/A,N/A,N/A,19.0728302,72.88260651,2024-04-29 15:00:00
"Opp GPO Civil Lines, Nagpur, India",97,97,52,16.6,5.9,4,8.8,21.152875,79.0517531,2024-04-30 18:00:00
"Gangapur Road, Nashik, India",118,118,66,24,7.3,5.8,5.7,20.0073285,73.7762427,2024-04-30 18:00:00
"Shivajinagar, Pune, Pune, India",232,232,138,61,198,N/A,51,18.529603,73.849586,2021-11-15 06:00:00
"Solapur, Solapur, India",103,103,88,N/A,19.7,47.4,N/A,17.6599188,75.9063906,2024-04-30 18:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",103,N/A,103,23.5,11.7,58.5,8.7,19.192056,72.9585188,2024-04-30 13:00:00
"Khadakpada, Kalyan, India",131,79,131,8,11.8,11.4,3.3,19.25292,73.142019,2024-04-30 18:00:00
"DM College of Science, Imphal, India",66,66,49,8.5,2.6,43.2,1.3,24.8207389,93.9423085,2024-04-30 18:00:00
"Lumpyngngad, Shillong, India",147,147,54,16.3,0.8,17.2,1.9,25.5586,91.8985,2024-04-30 18:00:00
"Sikulpuikawn, Aizawl, India",75,66,75,0.1,0.6,1.1,3.2,23.7176342,92.7192841,2024-04-30 18:00:00
"PWD Juction, Kohima, India",165,165,85,5.5,1.3,13.7,3.5,25.6635413,94.0989878,2024-04-30 18:00:00
"Mons, Belgium",13,12,13,N/A,N/A,N/A,N/A,50.46519216,3.939714326,2024-04-30 15:00:00
"Jawahar Nagar, Puducherry, India",16,30,16,1.9,0.7,1.7,4.3,11.9309,79.8027,2024-04-30 18:00:00
"Jawahar Nagar, Puducherry, India",16,30,16,1.9,0.7,1.7,4.3,11.9309,79.8027,2024-04-30 18:00:00
"Golden Temple, Amritsar, India",-,41,15,14.2,37.1,7.1,5.7,31.62,74.876512,2024-04-30 18:00:00
"Sector 22, Chandigarh, India",81,81,71,64.2,7.2,3.7,6.5,30.735567,76.775714,2024-04-30 18:00:00
"Civil Line, Jalandhar, India",103,103,71,18.6,14.6,3.4,3.5,31.321907,75.578914,2024-04-30 18:00:00
"Punjab Agricultural University, Ludhiana, India",115,115,60,15.6,4.8,2.9,4.3,30.9028,75.8086,2024-04-30 18:00:00
"Model Town, Patiala, India",97,97,72,24.1,8.8,2,3.7,30.349388,76.366642,2024-04-30 18:00:00
"Ratanpura, Rupnagar, India",108,108,56,N/A,N/A,5.3,7.7,31.0325454,76.5623046,2024-04-30 18:00:00
"Civil Lines, Ajmer, India",56,56,44,32.6,4.6,5.4,13.2,26.470859,74.646594,2024-04-30 18:00:00
"Moti Doongri, Alwar, India",118,118,59,18.9,10.3,7.5,5.4,27.554793,76.611536,2024-04-30 18:00:00
"Tulle centre, France",23,N/A,15,22.8,3.2,N/A,N/A,45.26266667,1.762833333,2024-04-30 15:00:00
"Police Commissionerate, Jaipur, India",153,153,81,34,8.5,6.5,5.6,26.9164092,75.7994901,2024-04-30 18:00:00
"Collectorate, Jodhpur, India",135,135,54,46.6,1.3,2.8,13,26.268249,73.0193853,2024-04-30 18:00:00
"Shrinath Puram, Kota, India",131,131,94,28.9,5,4.4,13.7,25.14389,75.821256,2024-04-30 18:00:00
"Indira Colony Vistar, Pali, India",153,153,106,25.8,0.6,3.8,7.5,25.771061,73.340227,2024-04-30 18:00:00
"Ashok Nagar, Udaipur, India",113,113,74,25.9,19.5,2.6,8.1,24.5886166,73.6321397,2024-04-30 18:00:00
"Zero Point GICI, Gangtok, India",67,67,59,27.5,1.5,5.1,3.4,27.33853,88.614099,2024-04-30 18:00:00
"Chennai US Consulate, Chennai, India (चेन्नई अमेरिकी वाणिज्य दूतावास)",25,25,N/A,N/A,N/A,N/A,N/A,13.08784008,80.2784729,2024-04-30 18:00:00
"SIDCO Kurichi, Coimbatore, India",87,87,58,3.2,0.5,7.2,5.2,10.942451,76.978996,2023-07-21 11:00:00
"Mendonsa Colony, Dindigul, India",61,61,41,1,0.1,17,4.2,10.358535,77.984321,2023-07-25 10:00:00
"Chalai Bazaar, Ramanathapuram, India",25,25,20,5.5,N/A,3.1,0.5,9.36399,78.831977,2024-04-30 18:00:00
"Salem, Oregon, USA",11,11,N/A,23.9,N/A,N/A,N/A,44.943114,-123.005934,2024-04-30 05:00:00
